,avg_similarity,n_topics_resolved,rep,supervision,topic_coverage
0,0.0449016796878,15.0,1.0,0.0,0.0
1,0.0522318273928,16.0,2.0,0.0,0.0
2,0.0422966499213,14.0,3.0,0.0,0.0
3,0.0425467631673,12.0,4.0,0.0,0.0
4,0.0467917420933,16.0,5.0,0.0,0.0
5,0.0450703553837,16.0,6.0,0.0,0.0
6,0.0434188728039,14.0,7.0,0.0,0.0
7,0.0434884064692,14.0,8.0,0.0,0.0
8,0.0441849894716,15.0,9.0,0.0,0.0
9,0.042419088139,14.0,10.0,0.0,0.0
10,0.0426167375978,11.0,11.0,0.0,0.0
11,0.0456952040179,17.0,12.0,0.0,0.0
12,0.0412511191098,13.0,13.0,0.0,0.0
13,0.0486570743142,16.0,14.0,0.0,0.0
14,0.0426191647108,16.0,15.0,0.0,0.0
15,0.0403437915571,12.0,16.0,0.0,0.0
16,0.0462135162178,14.0,17.0,0.0,0.0
17,0.042011943265,14.0,18.0,0.0,0.0
18,0.0460698417108,14.0,19.0,0.0,0.0
19,0.0428131598233,12.0,20.0,0.0,0.0
20,0.0397062370626,13.0,21.0,0.0,0.0
21,0.0447936321083,15.0,22.0,0.0,0.0
22,0.0450343684761,17.0,23.0,0.0,0.0
23,0.0476501725186,16.0,24.0,0.0,0.0
24,0.0486700317374,17.0,25.0,0.0,0.0
25,0.0446777213814,15.0,26.0,0.0,0.0
26,0.0529666459458,15.0,27.0,0.0,0.0
27,0.0433364414326,15.0,28.0,0.0,0.0
28,0.0413833992646,12.0,29.0,0.0,0.0
29,0.0498320231719,15.0,30.0,0.0,0.0
30,0.0409415376579,12.0,1.0,0.005,0.122222222222
31,0.0419725579219,14.0,2.0,0.005,0.277777777778
32,0.0275613282987,7.0,3.0,0.005,0.3
33,0.0331710480612,9.0,4.0,0.005,0.277777777778
34,0.036986823877,12.0,5.0,0.005,0.166666666667
35,0.0404444101356,13.0,6.0,0.005,0.266666666667
36,0.0384475897006,10.0,7.0,0.005,0.144444444444
37,0.0416229600074,14.0,8.0,0.005,0.144444444444
38,0.0445400378843,15.0,9.0,0.005,0.188888888889
39,0.0242749509313,5.0,10.0,0.005,0.166666666667
40,0.0378531818662,11.0,11.0,0.005,0.211111111111
41,0.0287888387244,7.0,12.0,0.005,0.2
42,0.0330897679675,9.0,13.0,0.005,0.2
43,0.0377819083925,11.0,14.0,0.005,0.155555555556
44,0.0323903069114,9.0,15.0,0.005,0.166666666667
45,0.0306921081866,7.0,16.0,0.005,0.422222222222
46,0.0330042553514,9.0,17.0,0.005,0.255555555556
47,0.0353611100045,11.0,18.0,0.005,0.166666666667
48,0.0301694931769,4.0,19.0,0.005,0.311111111111
49,0.0346574372812,7.0,20.0,0.005,0.244444444444
50,0.0394898681309,10.0,21.0,0.005,0.244444444444
51,0.0376122589016,10.0,22.0,0.005,0.266666666667
52,0.0468886376457,15.0,23.0,0.005,0.255555555556
53,0.0300544233525,7.0,24.0,0.005,0.255555555556
54,0.0366088705151,9.0,25.0,0.005,0.311111111111
55,0.0341231538211,10.0,26.0,0.005,0.222222222222
56,0.0396323698871,12.0,27.0,0.005,0.322222222222
57,0.0450786137092,14.0,28.0,0.005,0.211111111111
58,0.0268697313669,4.0,29.0,0.005,0.233333333333
59,0.0449533702734,16.0,30.0,0.005,0.244444444444
60,0.0327625355227,8.0,1.0,0.01,0.344444444444
61,0.0317704758599,7.0,2.0,0.01,0.333333333333
62,0.0335094538474,9.0,3.0,0.01,0.311111111111
63,0.0371377564939,9.0,4.0,0.01,0.311111111111
64,0.0303644149087,7.0,5.0,0.01,0.211111111111
65,0.0263937486209,4.0,6.0,0.01,0.255555555556
66,0.038035044196,9.0,7.0,0.01,0.3
67,0.0394019861835,12.0,8.0,0.01,0.355555555556
68,0.0364866056297,7.0,9.0,0.01,0.366666666667
