,avg_similarity,n_topics_resolved,rep,supervision,topic_coverage
0,0.0456272064375,14.0,1.0,0.0,0.0
1,0.0471751474983,15.0,2.0,0.0,0.0
2,0.0476151809597,16.0,3.0,0.0,0.0
3,0.044334050245,14.0,1.0,0.005,0.233333333333
4,0.0485990864624,16.0,2.0,0.005,0.244444444444
5,0.0381556335265,10.0,3.0,0.005,0.177777777778
6,0.0428404889518,13.0,1.0,0.01,0.388888888889
7,0.0329593539393,11.0,2.0,0.01,0.544444444444
8,0.0469644367175,15.0,3.0,0.01,0.377777777778
9,0.0432442108197,14.0,1.0,0.02,0.433333333333
10,0.0564444045172,18.0,2.0,0.02,0.555555555556
11,0.0459382274906,17.0,3.0,0.02,0.5
12,0.047403060606,15.0,1.0,0.05,0.744444444444
13,0.0554802907709,16.0,2.0,0.05,0.622222222222
14,0.0419339610954,15.0,3.0,0.05,0.633333333333
15,0.0511017061602,20.0,1.0,0.1,0.777777777778
16,0.0620702088137,21.0,2.0,0.1,0.777777777778
17,0.0619915518995,23.0,3.0,0.1,0.766666666667
18,0.0716497888758,25.0,1.0,0.15,0.822222222222
19,0.0742862757318,27.0,2.0,0.15,0.822222222222
20,0.0719037800486,27.0,3.0,0.15,0.855555555556
21,0.087301505373,32.0,1.0,0.2,0.866666666667
22,0.0755333885656,27.0,2.0,0.2,0.877777777778
23,0.0767925389154,27.0,3.0,0.2,0.866666666667
24,0.0866624348186,31.0,1.0,0.3,0.888888888889
25,0.0873245662036,33.0,2.0,0.3,0.922222222222
26,0.0917790382734,35.0,3.0,0.3,0.888888888889
27,0.111263618,40.0,1.0,0.4,0.9
28,0.111239147814,39.0,2.0,0.4,0.988888888889
29,0.0906736947962,35.0,3.0,0.4,0.922222222222
30,0.115875965638,40.0,1.0,0.5,0.966666666667
31,0.104856086478,40.0,2.0,0.5,0.955555555556
32,0.11976335798,44.0,3.0,0.5,0.977777777778
33,0.136016874321,49.0,1.0,0.6,0.966666666667
34,0.112589800677,46.0,2.0,0.6,0.988888888889
35,0.117162545623,49.0,3.0,0.6,0.977777777778
36,0.136284211687,50.0,1.0,0.7,1.0
37,0.143392702846,53.0,2.0,0.7,0.988888888889
38,0.113608106858,47.0,3.0,0.7,0.977777777778
39,0.169644819565,62.0,1.0,0.8,1.0
40,0.163140329736,58.0,2.0,0.8,0.988888888889
41,0.1458608267,58.0,3.0,0.8,1.0
42,0.172625065892,68.0,1.0,0.9,1.0
43,0.198686631461,76.0,2.0,0.9,1.0
44,0.207584783832,77.0,3.0,0.9,1.0
45,0.195409442623,75.0,1.0,0.95,1.0
46,0.199787135187,72.0,2.0,0.95,1.0
47,0.199959238107,72.0,3.0,0.95,1.0
