,avg_similarity,n_topics_resolved,rep,supervision,topic_coverage
0,0.0675530563191,28.0,1.0,0.1,0.744444444444
1,0.0856568459815,35.0,1.0,0.2,0.9
2,0.0989921782252,41.0,1.0,0.5,0.977777777778
3,0.16016046966,62.0,1.0,0.8,1.0
